id,temperature,vibration,humidity,pressure,energy_consumption,maintenance_required
73,68.8,42.16,37.09,2.27,2.73,0
74,78.99,91.58,57.84,3.32,4.15,1
75,70.4,74.14,34.53,1.1,4.23,0
76,72.65,42.35,70.8,4.8,4.82,0
77,69.8,73.06,79.94,2.88,3.58,0
78,98.42,54.64,69.53,3.22,2.09,1
79,76.25,36.09,39.46,3.44,2.92,0
80,77.24,57.09,65.7,4.66,4.91,1
81,69.29,49.79,58.4,1.73,1.32,0
82,79.73,35.41,55.08,4.29,2.95,0
83,75.98,51.18,79.4,3.24,1.75,0
84,57.59,39.04,58.14,4,2.82,0
85,89.96,49.82,52.73,3.56,2.87,0
86,73.9,54.28,52.85,1.36,4.48,0
87,80.36,48.05,75.79,1.8,0.89,0
88,68.65,75.47,30.17,2.42,2.74,0
89,79.47,27.16,69.34,4.83,1.93,0
90,81.66,47.15,32.71,1.8,2.2,1
91,60.36,52.37,46.39,2.53,2.04,0
92,80.22,50.6,64.64,2.75,1.12,0
93,73.93,83.04,69.85,1.68,2.14,1
94,64.72,49.92,50.8,4.83,1.19,0
95,91.73,47.93,44.05,2.52,2.04,1
96,65.67,64.06,65.72,2.85,4.95,0
97,77.34,21.91,32.55,4.35,3.13,0
98,62.59,48.08,60.13,1.62,4.16,0
99,63.99,33.61,54.42,3.55,3.38,0
100,85.59,36.06,49.27,2.61,3.62,0
101,71.49,65.67,30.91,1.07,3.53,1
102,89.42,50.8,62.33,1.3,2.46,0
103,70.88,68.67,50.57,1.05,2.36,0
104,70.44,49.79,78.41,2.9,3.46,0
105,67.39,79.5,66.06,2.32,3.04,0
106,70.08,40.75,60.98,2.33,1.4,0
107,81.19,57.08,50.63,1.46,4.98,0
108,75.87,33.46,50.8,4.08,3.51,0
109,71.93,50.89,57.17,1.96,3.38,0
110,81.9,47.39,77.38,4.68,0.76,0
111,80.5,64.34,36.28,3.25,4.39,0
112,72.2,23.77,34.87,1.97,4.5,1
113,90.24,48.67,40.65,1.23,4.39,1
114,59.58,36.68,60.31,4.64,3.71,0
115,79.06,37.46,45.55,2.48,4.59,0
116,73.77,55.02,37.58,2.02,3.42,0
117,80.03,61.89,54.79,1.45,4.2,0
118,76.04,34.92,38.2,3.71,0.75,0
119,77.63,61.57,76.72,3.51,3.25,0
120,57.11,70.92,43.51,1.32,3.46,0
121,77.26,46.18,70.4,3.52,3.54,0
122,85.42,88.09,52.52,3.86,0.84,1
123,68.96,44.34,39.82,1.26,3.78,0
124,84.96,45.27,50.5,1.26,4.28,0
125,71.47,30.59,34.38,3.96,2.21,0
126,69.07,40.49,51.44,2,0.68,0
127,69.3,56.23,39.15,1.3,4.6,0
128,64.79,69.16,76.26,2.8,4.2,0
129,75.72,49.55,65.13,4.09,2.05,0
130,68.76,77.81,68.88,1.74,4.09,0
131,69.53,54.42,55.01,3.29,2.42,0
132,68.16,43.49,67.95,3.18,3.62,0
133,78.27,73.05,79.75,4.67,2.58,0
134,62.34,72.68,60.47,2.24,4.95,0
135,80.92,58.37,38.65,2.89,4.45,1
136,80.02,25.02,35.16,3.23,1.03,0
137,80.08,46.5,79.24,3.69,1.53,0
138,65.19,62.01,42.83,1.89,3.77,0
139,77.39,34.9,68.81,3.64,2.51,0
140,88.03,53.36,50.79,3.08,2.25,0
141,62.92,58.11,30.04,4.41,4.55,0
142,76.81,47.79,35.63,2.31,1.04,1
143,63.86,62.39,45.47,1.04,2.95,0
144,72.27,40.7,65.42,2.97,4.73,0
145,74.67,27.88,46.42,1.48,1.16,0
146,68.67,43.97,48.91,1.07,3.65,1
147,67.49,88.85,66.52,2.24,3.63,1
148,77.56,66.52,35.8,2.85,2.53,0
149,64.9,46.19,71.1,3.75,4.04,0
150,80.16,53.42,59.37,4.38,4.81,0
151,92.42,57.21,31.14,1.3,2.4,1
152,62.22,48.82,52.01,1.39,1.69,0
153,61.62,50.79,78.28,4.61,1.48,1
154,59.84,54.06,48.42,2.2,4.86,0
155,70.24,33.65,45.09,3.89,2.51,1
156,83.58,52.44,69.14,4.15,1.6,0
157,84.48,50.3,53.17,4.19,0.54,0
158,79.21,41.65,76.14,3.61,2.05,1
159,77,69.32,38.03,1.31,2.11,0
160,87.76,69.22,79.56,3.96,2.81,1
161,70.11,58.69,76.63,1.57,3.03,0
162,80.59,61.88,48.47,4.93,0.57,1
163,94.85,41.76,42.47,4.21,3.76,1
164,87.34,31.85,70.59,1.44,2.79,0
165,63.79,26.05,39.92,3.38,3.95,0
166,69.21,59.62,39.57,1.29,4.98,0
167,95.34,61.4,55.55,2.3,4.6,1
168,69.24,29.89,39.53,2.74,1.5,0
169,90.98,67.59,55.4,2.2,2.51,1
170,70.68,79.91,74.49,4.78,1.64,0
171,73.01,51.05,63.77,3.95,4.14,0
172,65.82,52.1,50.5,4.06,3.7,0
173,67.53,43.56,40.77,1.63,2.59,1
174,73.05,35,46.32,2.33,1.31,0
175,76.85,75.5,56.75,3.07,0.93,0
176,70.97,57.75,67.2,2.29,0.76,0
177,82,62.85,70.36,3.39,1.69,0
178,71,79.05,52.55,4.4,3.1,1
179,54.36,40.89,79,1.26,1.34,0
180,72.92,56.97,71.37,4.64,4.16,0
181,70.27,76.39,48.69,3.54,1.91,0
182,89.87,49.55,54.97,2.88,2.49,1
183,83.96,53.94,30.38,2.53,4.19,0
184,84.93,60.15,34.43,3.65,2.36,1
185,82.03,45.42,38.46,3.08,1.88,0
186,79.39,49.44,56.99,2.54,2.76,0
187,79.36,65.7,48.14,3.28,2.15,0
188,84.23,18.72,36.59,1.57,2.01,0
189,80.8,48.51,73.67,3.49,2.68,0
190,69.73,51.63,42.46,1.34,1.39,0
191,60.85,74.9,54.72,4.76,0.8,1
192,56.13,33.12,30.88,4.7,0.98,1
193,66.51,55.23,40.63,1.91,2.52,0
194,67.64,43.54,72.51,4.85,0.5,0
195,74.05,41.47,36.47,3.75,2.47,0
196,73.77,42.2,72.58,1.73,1.25,0
197,92.38,62.42,53.15,2.3,4.43,1
198,80.62,40.6,40.97,1.07,4.74,0
199,67.54,58.35,78.7,4.98,4.09,0
200,88.71,67.19,34.84,4.11,4.85,1
201,72.7,24.16,65.32,2.82,1.2,0
202,80.67,72.13,31.77,1.74,3.53,0
203,79.68,59.26,35,1.63,1.31,0
204,75.4,37.02,65.98,3.19,0.71,1
205,89.14,83.63,30.85,2.33,3.92,1
206,69.16,42.91,60.14,3.49,0.76,1
207,76.29,44.17,33.94,3.63,0.78,1
208,65.98,43.38,51.35,3.07,3.56,0
209,78.5,34.45,74.48,4.36,3.28,0
210,79.08,61.27,77.85,4.26,0.92,0
211,75.86,49.74,64.57,1.03,2.86,0
212,75.68,59.18,77.27,4.98,4.01,0
213,73.25,77.33,48.39,1.05,1.01,0
214,78.77,67.34,62.04,2.13,4.52,0
215,81.18,62.09,53.7,2.99,4.52,0
216,62.88,76.92,34.76,3.11,3,0
217,72.23,30.16,56.98,1.69,2.98,0
218,71.38,43.02,72.78,1.24,4.08,0
219,81.61,85.14,60.71,2.13,2.29,1
220,87.08,41.41,48.66,1.93,1.24,1
221,79.28,84.97,65.7,2.5,3.45,1
222,76.43,70.55,67.8,4.83,3.66,0
223,67.31,48.3,36.21,4.1,2.18,0
224,93.62,47.52,58.38,2.63,1.12,1
225,65.78,68.96,58.69,2.67,1.19,0
226,62.45,64.62,43.98,1,2.88,1
227,82.2,61.97,41.43,3.99,4.86,0
228,69.88,39.24,69.49,4.98,1.52,1
229,82.65,65.8,64.82,3.12,1.02,0
230,89.32,85.04,74.94,2.66,0.69,1
231,72.33,26.42,41.12,4.7,4.97,0
232,79.56,63.17,72.35,1.02,1.44,0
233,70.54,39.33,67.33,4.41,3.64,0
234,75.74,34.21,77.32,1.38,4.45,0
235,73.72,63.17,69.6,3.09,2.16,1
236,84.6,45.71,77.43,4.94,1.4,0
237,69.55,61.36,74.71,3.35,1.08,0
238,68.26,46.17,75.65,4.69,3.09,1
239,73.03,50.2,38.75,1.95,1.31,0
240,81.63,67.34,33.04,2.73,4.56,0
241,67.01,47.15,31.49,3.95,3.45,1
242,63.17,24.27,68.56,4.07,1.26,1
243,86.75,40.72,46.65,3.59,2.18,0
244,52.77,51.48,65.81,1.37,1.67,0
245,61.98,59.08,60.05,2.61,1.72,0
246,96.66,45.78,31.97,1.98,1.39,1
247,57.48,51.91,31.61,3,2.06,1
248,70.62,51.11,67.39,1.03,4.81,0
249,68.51,64.33,69.28,2.98,3.59,1
250,52.06,46.24,64.73,1.49,2.87,0
251,64.97,62.96,33.89,3.19,3.71,0
252,77.65,56.22,40.68,1.68,0.86,0
253,82.55,51.66,77.04,1.52,3.55,0
254,86.03,53.26,43.09,1.76,4.35,0
255,71.26,53.82,40.4,2.92,3.59,1
256,56.5,64.91,46.9,2.16,4.11,0
257,75.52,33.31,43.61,3.13,1.94,0
258,88.74,46.29,38.84,3.79,0.86,0
259,90.26,28.21,57.78,4.92,4.06,1
260,84.82,33.97,31.44,2.22,2.87,0
261,61.37,46.58,45.71,3.41,1.44,0
262,73.05,55.1,56.08,4.18,2.44,0
263,77.3,37.81,48.35,2.59,2.13,0
264,78.92,59.18,39.32,1.19,3.87,0
265,57.21,48.56,40.03,2.47,1.98,0
266,95.56,55.23,60.18,3.77,1.9,1
267,88.2,43.13,55.32,1.72,4.17,0
268,74.97,59.75,40.53,1.86,0.8,0
269,76.28,68.45,34.4,3.46,2.63,0
270,70,69.34,78.73,3.16,0.79,0
271,87.36,47.53,52.75,1.2,1.23,0
272,63.43,84.17,74.68,3.52,4.13,1
273,76.14,49.09,79.91,3,2.36,0
274,66.63,60.82,79.89,4.22,1.62,0
275,74.82,68.98,48.06,2.85,2.27,0
276,86.69,68.3,66.42,3.47,3.63,0
277,68.57,70.29,63.93,4.98,3.51,0
278,76.81,69.55,63.47,2.47,4.27,0
279,73.72,46.59,57.74,4.05,1.52,1
280,67.66,47.88,30.16,3.14,3.87,0
281,68.82,48.57,36.07,4.81,2.64,0
282,68.93,57.4,59.26,4.67,0.64,0
283,56.95,14.54,71.36,1.76,2.13,0
284,73.43,82.62,43,1.38,2.86,1
285,75.78,63.31,39.12,1.44,1.97,0
286,59.84,48,55.95,1.59,1.43,0
287,70.47,37.7,74.74,4.43,2.7,0
288,72.74,42.89,40.79,4.71,4.73,0
289,83.08,38.25,55.04,2.38,2.71,0
290,92.25,53.71,60.82,1.16,1.87,1
291,78.93,26.86,35.85,4.19,3.5,0
292,61.23,86.34,58.64,3.82,3.11,1
293,65.75,50.57,67.73,1.62,3.48,0
294,75.73,58.12,63.95,2.73,1.13,0
295,70.48,34.25,62.43,4.2,1.61,0
296,74.6,64.81,76.23,4.98,0.61,0
297,83.28,52.62,65.38,4.3,3.26,0
298,73.28,35.9,73.02,2.8,4.33,0
299,99.47,59.31,41.96,3.98,3.82,1
300,59.22,49.17,48.62,2.65,4.01,0
301,80.39,41.97,54.01,4.08,0.9,0
302,58.32,42.33,66.09,3.48,2.51,0
303,66.47,44.27,58.27,3.95,3.34,0
304,83.41,44.42,35.94,4.17,2.24,1
305,54.39,55.99,58.54,4.47,4.21,0
306,77.97,21.21,32.64,4.01,2.19,0
307,62.56,43.11,67.2,4.62,3.79,0
308,74.3,58.98,63.86,3.16,2.34,0
309,68.7,33.33,66.75,4.12,3.54,1
310,75.14,48.6,35.3,5,4.55,0
311,78.98,71.08,75.63,4.51,3.55,0
312,85.59,29.89,79.93,4.83,4.41,0
313,76.39,37.98,59.48,2.23,3.84,0
314,81.16,65.95,32.38,1.67,0.73,0
315,74.33,69.8,53.51,4.93,1.98,0
316,61.57,61.44,59.91,1.44,4.06,0
317,63.61,45.43,70.17,4.35,1.61,0
318,89.92,53.1,61.73,4.37,2.81,0
319,62.79,43.25,70.62,2.51,4.8,0
320,76.91,54.76,69.41,2.11,4.43,0
321,76.74,69.01,38.74,3.72,3.32,0
322,76.18,60.74,75.9,2.67,1.08,1
323,85.23,49.62,32.39,2.38,0.93,0
324,68.55,65.27,43.96,1.44,1.65,0
325,72.88,47.46,74.95,4.19,1.64,1
326,71.59,67.13,79.12,1.11,2.64,0
327,52.34,49,52.42,3.35,3.62,0
328,67.39,27.79,31.58,2.2,3.92,0
329,85.66,56.15,38.76,3.64,3.66,0
330,95.24,52.8,56.1,3.44,2.49,1
331,84.5,77.83,60.82,1.22,3.07,0
332,78.89,76.78,65.89,3.03,3.92,0
333,61.25,61.77,45.52,3.32,1.84,0
334,76.85,38.29,41.27,3.81,4.46,0
335,75.99,52.04,39.33,2,4.95,0
336,98.41,26.15,42.39,2.01,1.76,1
337,57.53,51.51,40.79,3.97,3.11,0
338,62.49,28.8,36.54,1.18,1.04,0
339,87.12,68.4,40.12,2.14,0.81,0
340,90.45,58,58.25,3.89,3.62,1
341,78.31,54.72,73.59,2.69,0.88,0
342,71.35,71.46,43.2,4.64,2.69,0
343,80.73,56.42,67.72,4.96,4.21,1
344,96.78,52.62,67.8,1.3,1.11,1
345,68.52,31.28,59.79,4.73,4.17,0
346,79.65,65.18,33.11,4.93,4.05,0
347,72.98,53.73,55.73,4.91,3.41,0
348,78.69,63.72,62.84,4.59,4.23,0
349,82.79,40.66,72.9,3.91,4.52,0
350,69.13,38.57,58.72,1.93,3.93,0
351,84.81,60.71,71.49,1.22,1.88,0
352,70.08,63.15,34.73,2.88,1.22,1
353,80.73,73.55,38.67,3.13,2.73,1
354,55.57,38.4,74.52,1.71,2.41,0
355,82.63,59.63,54.71,3.22,3.92,0
356,66.13,55.11,59.31,2.58,1.19,0
357,70,38.14,39.58,3.87,2.04,0
358,52.43,38.98,44.59,3.47,2.2,0
359,72.75,58.7,39.75,4.28,0.57,0
360,88.28,62.15,68.06,4.8,3.05,0
361,59.34,44.88,74.83,3.17,1.15,0
362,76.95,42.87,49.64,3.97,3.17,0
363,54.6,30.33,38.01,3.3,3.57,0
364,73.5,95.8,46.05,3.98,1.52,1
365,83.58,42.03,75.8,4.03,3.75,0
366,73.91,35.6,43.53,1.29,4.74,0
367,82.81,61.45,48.41,4.06,1.32,1
368,69.98,47.2,57.49,1.62,1.06,0
369,100.84,48.25,55.39,2.72,1.21,1
370,86.01,38.21,51.04,3.08,3.17,0
371,77.09,58.08,38.73,1.82,2.82,0
372,92.12,35.52,60.68,4.93,4.88,1
373,88.95,33.4,71.93,2.92,4.96,0
374,69.63,45.78,32.8,3.49,3.64,0
375,80.01,45.15,59.21,3.21,3.11,1
376,72.04,61.17,32.59,4.33,1.2,0
377,84.19,30.34,72.83,3.18,2.84,0
378,90.72,64.3,39.9,1.48,2.28,1
379,60.2,64.48,52.25,1.07,0.58,1
380,76.19,66.76,79.48,1.22,2.42,0
381,89.62,33.22,58.44,2.09,1.19,0
382,82.6,35.89,38.06,2.24,1.2,0
383,79.28,59.25,30.48,4.14,1.45,0
384,85.75,84.82,72.52,1.93,3.43,1
385,61.62,50.65,69.31,4.62,3.23,0
386,80.68,57.04,62.96,1.28,1.85,0
387,87.34,35.3,39.49,3.49,1.26,0
388,80.69,53.54,36.85,4.59,1.18,0
389,62.81,48.84,76.69,4.99,0.97,0
390,71.23,59.7,44.41,2,4.4,0
391,75.11,62.76,40.77,2.42,1.8,0
392,66.81,56.92,53.28,3.23,2.25,0
393,65.99,42.75,52.3,2.58,2.9,0
394,79.91,35.6,41.66,1.65,1.91,0
395,91.47,65.52,55.35,3.82,3.14,1
396,56.15,58.49,45.59,3.98,4.34,0
397,70.17,67.73,51.11,3.74,1.53,0
398,67.78,46.48,31.57,3.97,2.9,0
399,90.01,28.12,71.27,1.09,2.14,1
400,82.23,14.11,51.67,4.3,2.8,0
401,88.92,26.84,56.16,4.53,3.78,1
402,83.86,37.67,33.33,3.73,2.02,0
403,86.81,47.24,46.47,3.68,3.06,0
404,77.87,44.41,31.33,1.59,1.99,1
405,79.76,53.76,64.5,4.42,3.81,0
406,80.25,27.19,45.02,4.35,3.94,0
407,75.33,63.9,36.37,2.33,3.33,0
408,75.05,72.64,48.16,3.52,4.31,0
409,79.75,52.83,47.47,1.43,4.75,0
410,79.5,43.78,38.47,1.53,3.65,1
411,77.11,48.85,43.62,1.89,2.12,0
412,76.81,72.89,41.64,4.26,1.4,0
413,82.12,64.68,64,3.69,2.94,0
414,73.72,62.96,74.45,2.49,1.34,0
415,62.79,46.85,68.21,3.03,2.31,0
416,77.06,48.36,58.59,3.34,1.12,0
417,66.02,37.04,34.57,4.45,1.27,1
418,85.39,33.59,44.02,3.23,2.04,0
419,69.13,52.45,66.95,3.3,4.83,1
420,70,37.35,68.54,4.92,3.29,1
421,79.15,24.94,58.38,4.41,1.93,1
422,74.88,61.11,77.88,2.63,2.75,0
423,86.82,42.3,55.69,4.99,0.96,0
424,72.91,57.12,46.25,4.96,1.72,0
425,72.06,51.46,38.82,4.6,1.35,0
426,67.37,29.43,52.7,2.23,1.53,0
427,63.15,35.58,74.3,3.4,3.83,0
428,69.74,54.63,31.82,2.77,4.48,0
429,79.11,16.49,79.05,3.24,2.97,0
430,87.84,40.12,66.63,1.43,0.9,1
431,83.51,41.12,64.16,3.58,0.9,0
432,69.3,60.6,51.66,1.43,0.84,0
433,76.62,48.83,71.57,1.66,0.65,0
434,75.28,88.82,64.92,2.26,4.11,1
435,86.59,58.02,67.5,3.47,4.1,0
436,88.15,43.05,40.91,1.13,1.54,0
437,55.53,48,59.48,3.91,2.95,0
438,88.93,20.81,58.2,1.16,2.78,0
439,59.3,46.56,66.17,1.06,4.18,0
440,77.73,34.06,56.15,1.38,3.2,0
441,54.1,37.4,64.93,3.98,1.66,0
442,85.16,43.84,74.15,4.05,5,0
443,71.61,74.04,37.16,2.4,2.44,0
444,81.77,67.69,66.33,3.2,3.55,0
445,72.12,38.63,41.98,1.6,2.72,0
446,84.71,20.26,35.54,2.8,2.05,0
447,58.33,44.74,52.25,2.76,3.78,0
448,81.1,28.07,38.48,2.57,2.34,0
449,79.17,42.93,34.4,1.88,3.26,0
450,78.75,40.91,41.18,3.46,1.24,0
451,80.14,64,32.3,4.31,3.02,0
452,86.35,61.98,71.21,1.87,4.8,0
453,84.87,45.84,76.78,1.05,3.58,0
454,60.89,52.25,64.48,1.13,2.89,0
455,76.15,55.21,50.49,4.95,4.57,0
456,78.55,37.18,65,1.88,3.61,0
457,74.34,15.02,33.79,3.11,2.82,0
458,76.55,64.22,65.07,4.84,3.74,0
459,79.78,60.44,54.82,3.92,3.94,1
460,82.57,54.5,32.91,4.46,4.01,0
461,80.7,61.55,69.64,1.03,0.56,0
462,83.64,38.33,58.05,3.46,3.8,0
463,94.69,40.3,79.41,2.38,4.14,1
464,72.93,31.27,32.02,3.47,1.04,0
465,73.66,56.7,43.46,4.03,1.39,0
466,82.03,53.19,30,2.6,0.81,1
467,74.96,49.28,71.68,2.92,4.06,0
468,71.61,50.89,47.79,3.01,0.9,1
469,70.45,32.05,48.64,4.38,0.93,0
470,81.28,38.1,39.05,3.53,4.17,0
471,79.52,36.26,35.39,1.21,0.88,0
472,93.65,63.64,44.29,1.96,3.22,1
473,64.75,30.97,35.54,3.96,3.49,0
474,64.99,50.37,35.7,4.01,1.11,0
475,75.67,63.75,36.16,4.56,3.15,0
476,67.16,43.9,44.75,4.26,0.81,0
477,57.19,67.21,66.83,2.64,2.36,0
478,70.78,43.02,42.05,1.98,1.94,0
479,96.63,70.04,76.57,4.33,2.59,1
480,99.87,52.58,63.94,1.36,4.76,1
481,80.42,55.78,79.4,1.49,4.52,0
482,63.86,42.91,63.51,4.23,2.15,0
483,67.18,43,44.85,2.02,3.32,0
484,75.93,45.12,52.79,3.82,1.66,0
485,69.96,54.9,37.83,2.15,1.26,0
486,76.63,43.09,72.9,4.8,2.4,1
487,75.43,44.76,69.06,1.36,1.6,1
488,62.76,31.73,74.08,4.06,4.25,0
489,74.51,52.18,69.51,1.28,3.71,0
490,79.63,51.09,44.36,1.44,0.77,0
491,71.26,70.15,49.15,4.42,4.56,0
492,84.47,69.72,78.04,3.29,1.37,0
493,75.56,61,48.84,2.76,1.08,0
494,73.7,31.76,56.78,2.87,0.65,0
495,75.62,41.97,43.97,4.94,1.61,0
496,69.59,43.21,51.63,3.22,1.45,0
497,79.06,65.54,52.53,4.17,0.7,0
498,66.43,67.49,44.36,4.5,2.41,0
499,98.89,52.62,52.41,4.1,4.78,1
500,95.29,28.36,55.05,1.65,4.65,1
501,74.23,68.39,43.59,4.29,3.59,0
502,80.7,28.2,68.33,4.03,0.93,0
503,81.02,43.96,34.51,1.71,3.97,0
504,80.95,61.92,51.26,2.98,0.99,0
505,81.85,67.96,67.38,3.4,3.33,0
506,82.56,52.41,53.19,3.35,4.34,0
507,81.93,45.49,53.48,2.97,2.26,0
508,67.14,34.82,71.29,1.65,0.62,0
509,79.45,39.96,46.72,4.51,4.5,0
510,67.55,41.32,46.12,4.27,2.84,0
511,80.23,32.63,49.43,4.38,4.18,0
512,84.36,52.5,59.03,4.95,0.85,0
513,78.75,33.99,65.7,4.72,2.18,0
514,82.48,36.49,55.35,2.84,0.68,0
515,77.2,25.88,35.33,3.21,3.79,0
516,93.49,60.54,40.16,2.16,1.5,1
517,79.11,47.71,53.98,3.19,4.34,0
518,65.81,52.13,43.03,1.15,1.32,0
519,70.14,52.67,64.39,1.5,0.86,0
520,79.34,40.65,72.48,2.37,3.54,0
521,88.13,34.61,77.31,4.94,4.7,0
522,79.02,76.55,32.37,1.77,2.57,0
523,77.26,44.39,68.27,1.52,3.02,1
524,63.82,40.76,51.04,3.54,2.68,0
525,93.96,93.57,41.08,1.37,2.65,1
526,61.72,40.46,47.1,2.38,2.22,1
527,59.54,47.41,59.38,3.34,2.22,0
528,70.3,37.57,30.61,2.09,4.51,0
529,80.93,67.23,45.21,2.22,1.48,0
530,71,41.48,76.1,1.44,2.52,0
531,68.84,56.17,73.32,4.31,1.73,0
532,66.78,62.93,73.18,4.32,4.82,1
533,92.68,57.24,62.35,4.37,4.5,1
534,78.35,33.98,62.5,3.64,1.29,1
535,83.96,63.79,51.77,2.29,2.47,0
536,95.57,55.86,70.65,3.72,4.48,1
537,95.25,50.56,61.96,4.39,2.62,1
538,66.02,52.64,51.9,3.5,2.3,0
539,77.5,27.52,76.28,1.04,1.39,1
540,82.87,79.72,60.91,1.09,2.03,1
541,76.08,71.79,65.44,2.08,0.87,0
542,68.24,68.23,36.93,4.69,2.25,0
543,48.33,47.26,48.48,1.98,1.13,0
544,88.46,50.43,69.69,3.02,1.28,0
545,93.48,64.96,64.91,4.15,4.18,1
546,82.37,54.4,79.13,1.55,2.86,0
547,74.76,34.71,70.99,2.68,0.9,1
548,69.47,32.14,65.21,1.17,4.57,0
549,76.3,30.12,60.39,4.89,3.16,1
550,88.36,35.88,56.97,1.13,4.07,0
551,80.52,39.03,79.17,3.85,1.24,0
552,53.23,49.54,73.81,1.08,3.12,0
553,91.04,69.96,49.49,2.26,3.66,1
554,81.79,41.19,52.61,2.74,1.34,0
555,64.28,60.65,75.46,3.43,1.21,0
556,80.92,49.3,54.73,3.27,1.17,0
557,77.08,43.71,56.32,2.5,4.85,1
558,77.04,57.12,50.96,4.15,1.25,0
559,64.92,46.22,62.87,4.85,3.93,0
560,72.39,52.92,74.31,1.04,2.18,0
561,58.88,16.73,70.21,1.27,4.92,0
562,87.26,44.39,49.31,4.11,4.93,0
563,66.43,57.09,51.46,3.11,1.37,0
564,86.22,64.3,35.47,1.29,0.55,0
565,81.14,68.33,51.59,1.23,3.62,0
566,71.04,72.22,53.39,3.29,4.32,0
567,67.51,58.16,74.4,1.26,4.97,0
568,77.09,59.07,72.69,4.73,2.75,0
569,85.85,42.23,77.5,3.71,2.99,0
570,83.13,55.93,58.97,3.77,3.13,0
571,80.65,67.25,40.05,3.42,2.6,0
572,73.37,78.22,30.97,3.25,3.59,0
573,83.16,36.11,54.75,4.93,3.38,0
574,59.57,45.36,47.92,4.89,2.2,0
575,77.46,55.81,52.76,1.52,4.42,1
576,75.09,50.45,72.08,2.97,0.88,0
577,62.76,27.86,64.9,3.36,1.6,0
578,71.5,62.59,55.29,4.17,3.91,0
579,91.92,39.21,49.46,2.74,1.82,1
580,80.71,43.51,68.91,3.96,1.54,0
581,84.39,27.31,33.82,4.28,4.71,0
582,70.54,23.54,58.76,4.21,1.52,0
583,58.2,58.75,51.54,3.31,0.95,0
